timestamp,Variable1,Variable2,Variable3,target
6/16/2017 13:09,AP5,HDD,Commercial,368
,,,,
6/16/2017 13:09,EM3,HDD,Commercial,1308
,,,,
6/16/2017 13:09,EM3,SSD,Commercial,1728
,,,,
6/16/2017 13:09,SYD10,HDD,Commercial,1491
,,,,
6/16/2017 13:09,SYD10,SSD,Commercial,14
,,,,
6/16/2017 13:09,US2,HDD,Commercial,4760
,,,,
6/16/2017 13:09,US2,SSD,Commercial,74
,,,,
6/16/2017 13:09,US2,SSD,Commercial,15
,,,,
6/16/2017 13:09,US6,HDD,Commercial,26
,,,,
6/16/2017 13:09,US6,SSD,Commercial,0
,,,,
6/16/2017 13:09,US7,HDD,PCI,387
,,,,
6/16/2017 14:08,AP5,HDD,Commercial,269
,,,,
6/16/2017 14:08,EM3,HDD,Commercial,1300
,,,,
6/16/2017 14:08,EM3,SSD,Commercial,1728
,,,,
6/16/2017 14:08,SYD10,HDD,Commercial,1459
,,,,
6/16/2017 14:08,SYD10,SSD,Commercial,14
,,,,
6/16/2017 14:08,US2,HDD,Commercial,4792
,,,,
6/16/2017 14:08,US2,SSD,Commercial,74
,,,,
6/16/2017 14:08,US2,SSD,Commercial,15
,,,,
6/16/2017 14:08,US6,HDD,Commercial,26
,,,,
6/16/2017 14:08,US6,SSD,Commercial,0
,,,,
6/16/2017 14:08,US7,HDD,PCI,387
,,,,
6/16/2017 15:09,AP5,HDD,Commercial,264
,,,,
6/16/2017 15:09,EM3,HDD,Commercial,1279
,,,,
6/16/2017 15:09,EM3,SSD,Commercial,1728
,,,,
6/16/2017 15:09,SYD10,HDD,Commercial,1463
,,,,
6/16/2017 15:09,SYD10,SSD,Commercial,14
,,,,
6/16/2017 15:09,US2,HDD,Commercial,4795
,,,,
6/16/2017 15:09,US2,SSD,Commercial,74
,,,,
6/16/2017 15:09,US2,SSD,Commercial,15
,,,,
6/16/2017 15:09,US6,HDD,Commercial,27
,,,,
6/16/2017 15:09,US6,SSD,Commercial,0
,,,,
6/16/2017 15:09,US7,HDD,PCI,387
,,,,
6/16/2017 16:08,AP5,HDD,Commercial,264
,,,,
6/16/2017 16:08,EM3,HDD,Commercial,1278
,,,,
6/16/2017 16:08,EM3,SSD,Commercial,1728
,,,,
6/16/2017 16:08,SYD10,HDD,Commercial,1462
,,,,
6/16/2017 16:08,SYD10,SSD,Commercial,14
,,,,
6/16/2017 16:08,US2,HDD,Commercial,4817
,,,,
6/16/2017 16:08,US2,SSD,Commercial,75
,,,,
6/16/2017 16:08,US2,SSD,Commercial,15
,,,,
6/16/2017 16:08,US6,HDD,Commercial,30
,,,,
6/16/2017 16:08,US6,SSD,Commercial,0
,,,,
6/16/2017 16:08,US7,HDD,PCI,392
,,,,
6/16/2017 17:09,AP5,HDD,Commercial,270
,,,,
6/16/2017 17:09,EM3,HDD,Commercial,1271
,,,,
6/16/2017 17:09,EM3,SSD,Commercial,1728
,,,,
6/16/2017 17:09,SYD10,HDD,Commercial,1470
,,,,
6/16/2017 17:09,SYD10,SSD,Commercial,14
,,,,
6/16/2017 17:09,US2,HDD,Commercial,4789
,,,,
6/16/2017 17:09,US2,SSD,Commercial,75
,,,,
6/16/2017 17:09,US2,SSD,Commercial,15
,,,,
6/16/2017 17:09,US6,HDD,Commercial,29
,,,,
6/16/2017 17:09,US6,SSD,Commercial,0
,,,,
6/16/2017 17:09,US7,HDD,PCI,390
,,,,
6/16/2017 18:09,AP5,HDD,Commercial,265
,,,,
6/16/2017 18:09,EM3,HDD,Commercial,1271
,,,,
6/16/2017 18:09,EM3,SSD,Commercial,1728
,,,,
6/16/2017 18:09,SYD10,HDD,Commercial,1533
,,,,
6/16/2017 18:09,SYD10,SSD,Commercial,14
,,,,
6/16/2017 18:09,US2,HDD,Commercial,4826
,,,,
6/16/2017 18:09,US2,SSD,Commercial,219
,,,,
6/16/2017 18:09,US2,SSD,Commercial,15
,,,,
6/16/2017 18:09,US6,HDD,Commercial,27
,,,,
6/16/2017 18:09,US6,SSD,Commercial,0
,,,,
6/16/2017 18:09,US7,HDD,PCI,389
,,,,
6/16/2017 19:09,AP5,HDD,Commercial,267
,,,,
6/16/2017 19:09,EM3,HDD,Commercial,1277
,,,,
6/16/2017 19:09,EM3,SSD,Commercial,1728
,,,,
6/16/2017 19:09,SYD10,HDD,Commercial,1528
,,,,
6/16/2017 19:09,SYD10,SSD,Commercial,14
,,,,
6/16/2017 19:09,US2,HDD,Commercial,4777
,,,,
6/16/2017 19:09,US2,SSD,Commercial,1371
,,,,
6/16/2017 19:09,US2,SSD,Commercial,15
,,,,
6/16/2017 19:09,US6,HDD,Commercial,28
,,,,
6/16/2017 19:09,US6,SSD,Commercial,0
,,,,
6/16/2017 19:09,US7,HDD,PCI,389
,,,,
6/16/2017 20:09,AP5,HDD,Commercial,265
,,,,
6/16/2017 20:09,EM3,HDD,Commercial,1276
,,,,
6/16/2017 20:09,EM3,SSD,Commercial,1728
,,,,
6/16/2017 20:09,SYD10,HDD,Commercial,1532
,,,,
6/16/2017 20:09,SYD10,SSD,Commercial,14
,,,,
6/16/2017 20:09,US2,HDD,Commercial,4794
,,,,
6/16/2017 20:09,US2,SSD,Commercial,1755
,,,,
6/16/2017 20:09,US2,SSD,Commercial,15
,,,,
6/16/2017 20:09,US6,HDD,Commercial,28
,,,,
6/16/2017 20:09,US6,SSD,Commercial,0
,,,,
6/16/2017 20:09,US7,HDD,PCI,389
,,,,
6/16/2017 21:09,AP5,HDD,Commercial,268
,,,,
6/16/2017 21:09,EM3,HDD,Commercial,1280
,,,,
6/16/2017 21:09,EM3,SSD,Commercial,1728
,,,,
6/16/2017 21:09,SYD10,HDD,Commercial,1534
,,,,
6/16/2017 21:09,SYD10,SSD,Commercial,14
,,,,
6/16/2017 21:09,US2,HDD,Commercial,4799
,,,,
6/16/2017 21:09,US2,SSD,Commercial,1755
,,,,
6/16/2017 21:09,US2,SSD,Commercial,18
,,,,
6/16/2017 21:09,US6,HDD,Commercial,27
,,,,
6/16/2017 21:09,US6,SSD,Commercial,0
,,,,
6/16/2017 21:09,US7,HDD,PCI,391
,,,,
6/16/2017 22:09,AP5,HDD,Commercial,264
,,,,
6/16/2017 22:09,EM3,HDD,Commercial,1279
,,,,
6/16/2017 22:09,EM3,SSD,Commercial,1728
,,,,
6/16/2017 22:09,SYD10,HDD,Commercial,1529
,,,,
6/16/2017 22:09,SYD10,SSD,Commercial,14
,,,,
6/16/2017 22:09,US2,HDD,Commercial,4831
,,,,
6/16/2017 22:09,US2,SSD,Commercial,1755
,,,,
6/16/2017 22:09,US2,SSD,Commercial,15
,,,,
6/16/2017 22:09,US6,HDD,Commercial,27
,,,,
6/16/2017 22:09,US6,SSD,Commercial,0
,,,,
6/16/2017 22:09,US7,HDD,PCI,393
,,,,
6/16/2017 23:09,AP5,HDD,Commercial,271
,,,,
6/16/2017 23:09,EM3,HDD,Commercial,1280
,,,,
6/16/2017 23:09,EM3,SSD,Commercial,1728
,,,,
6/16/2017 23:09,SYD10,HDD,Commercial,1532
,,,,
6/16/2017 23:09,SYD10,SSD,Commercial,14
,,,,
6/16/2017 23:09,US2,HDD,Commercial,4878
,,,,
6/16/2017 23:09,US2,SSD,Commercial,1755
,,,,
6/16/2017 23:09,US2,SSD,Commercial,15
,,,,
6/16/2017 23:09,US6,HDD,Commercial,27
,,,,
6/16/2017 23:09,US6,SSD,Commercial,0
,,,,
6/16/2017 23:09,US7,HDD,PCI,394
,,,,
6/17/2017 0:08,AP5,HDD,Commercial,265
,,,,
6/17/2017 0:08,EM3,HDD,Commercial,1280
,,,,
6/17/2017 0:08,EM3,SSD,Commercial,1728
,,,,
6/17/2017 0:08,SYD10,HDD,Commercial,1531
,,,,
6/17/2017 0:08,SYD10,SSD,Commercial,14
,,,,
6/17/2017 0:08,US2,HDD,Commercial,4868
,,,,
6/17/2017 0:08,US2,SSD,Commercial,1756
,,,,
6/17/2017 0:08,US2,SSD,Commercial,15
,,,,
6/17/2017 0:08,US6,HDD,Commercial,28
,,,,
6/17/2017 0:08,US6,SSD,Commercial,0
,,,,
6/17/2017 0:08,US7,HDD,PCI,391
,,,,
6/17/2017 1:09,AP5,HDD,Commercial,269
,,,,
6/17/2017 1:09,EM3,HDD,Commercial,1279
,,,,
6/17/2017 1:09,EM3,SSD,Commercial,1728
,,,,
6/17/2017 1:09,SYD10,HDD,Commercial,1532
,,,,
6/17/2017 1:09,SYD10,SSD,Commercial,14
,,,,
6/17/2017 1:09,US2,HDD,Commercial,4872
,,,,
6/17/2017 1:09,US2,SSD,Commercial,1755
,,,,
6/17/2017 1:09,US2,SSD,Commercial,15
,,,,
6/17/2017 1:09,US6,HDD,Commercial,32
,,,,
6/17/2017 1:09,US6,SSD,Commercial,0
,,,,
6/17/2017 1:09,US7,HDD,PCI,392
,,,,
6/17/2017 2:09,AP5,HDD,Commercial,269
,,,,
6/17/2017 2:09,EM3,HDD,Commercial,1279
,,,,
6/17/2017 2:09,EM3,SSD,Commercial,1728
,,,,
6/17/2017 2:09,SYD10,HDD,Commercial,1537
,,,,
6/17/2017 2:09,SYD10,SSD,Commercial,14
,,,,
6/17/2017 2:09,US2,HDD,Commercial,4833
,,,,
6/17/2017 2:09,US2,SSD,Commercial,1755
,,,,
6/17/2017 2:09,US2,SSD,Commercial,15
,,,,
6/17/2017 2:09,US6,HDD,Commercial,32
,,,,
6/17/2017 2:09,US6,SSD,Commercial,1
,,,,
6/17/2017 2:09,US7,HDD,PCI,391
,,,,
6/17/2017 3:09,AP5,HDD,Commercial,266
,,,,
6/17/2017 3:09,EM3,HDD,Commercial,1278
,,,,
6/17/2017 3:09,EM3,SSD,Commercial,1728
,,,,
6/17/2017 3:09,SYD10,HDD,Commercial,1535
,,,,
6/17/2017 3:09,SYD10,SSD,Commercial,14
,,,,
6/17/2017 3:09,US2,HDD,Commercial,4835
,,,,
6/17/2017 3:09,US2,SSD,Commercial,1755
,,,,
6/17/2017 3:09,US2,SSD,Commercial,15
,,,,
6/17/2017 3:09,US6,HDD,Commercial,28
,,,,
6/17/2017 3:09,US6,SSD,Commercial,0
,,,,
6/17/2017 3:09,US7,HDD,PCI,391
,,,,
6/17/2017 4:08,AP5,HDD,Commercial,266
,,,,
6/17/2017 4:08,EM3,HDD,Commercial,1279
,,,,
6/17/2017 4:08,EM3,SSD,Commercial,1728
,,,,
6/17/2017 4:08,SYD10,HDD,Commercial,1536
,,,,
6/17/2017 4:08,SYD10,SSD,Commercial,14
,,,,
6/17/2017 4:08,US2,HDD,Commercial,4824
,,,,
6/17/2017 4:08,US2,SSD,Commercial,1755
,,,,
6/17/2017 4:08,US2,SSD,Commercial,15
,,,,
6/17/2017 4:08,US6,HDD,Commercial,28
,,,,
6/17/2017 4:08,US6,SSD,Commercial,0
,,,,
6/17/2017 4:08,US7,HDD,PCI,394
,,,,
6/17/2017 5:25,AP5,HDD,Commercial,268
,,,,
6/17/2017 5:25,EM3,HDD,Commercial,1281
,,,,
6/17/2017 5:25,EM3,SSD,Commercial,1728
,,,,
6/17/2017 5:25,SYD10,HDD,Commercial,1541
,,,,
6/17/2017 5:25,SYD10,SSD,Commercial,14
,,,,
6/17/2017 5:25,US2,HDD,Commercial,4832
,,,,
6/17/2017 5:25,US2,SSD,Commercial,1755
,,,,
6/17/2017 5:25,US2,SSD,Commercial,15
,,,,
6/17/2017 5:25,US6,HDD,Commercial,28
,,,,
6/17/2017 5:25,US6,SSD,Commercial,0
,,,,
6/17/2017 5:25,US7,HDD,PCI,392
,,,,
6/17/2017 6:25,AP5,HDD,Commercial,264
,,,,
6/17/2017 6:25,EM3,HDD,Commercial,1283
,,,,
6/17/2017 6:25,EM3,SSD,Commercial,1728
,,,,
6/17/2017 6:25,SYD10,HDD,Commercial,1542
,,,,
6/17/2017 6:25,SYD10,SSD,Commercial,14
,,,,
6/17/2017 6:25,US2,HDD,Commercial,4824
,,,,
6/17/2017 6:25,US2,SSD,Commercial,1755
,,,,
6/17/2017 6:25,US2,SSD,Commercial,15
,,,,
6/17/2017 6:25,US6,HDD,Commercial,27
,,,,
6/17/2017 6:25,US6,SSD,Commercial,0
,,,,
6/17/2017 6:25,US7,HDD,PCI,391
,,,,
6/17/2017 7:25,AP5,HDD,Commercial,265
,,,,
6/17/2017 7:25,EM3,HDD,Commercial,1282
,,,,
6/17/2017 7:25,EM3,SSD,Commercial,1728
,,,,
6/17/2017 7:25,SYD10,HDD,Commercial,1540
,,,,
6/17/2017 7:25,SYD10,SSD,Commercial,14
,,,,
6/17/2017 7:25,US2,HDD,Commercial,4825
,,,,
6/17/2017 7:25,US2,SSD,Commercial,1755
,,,,
6/17/2017 7:25,US2,SSD,Commercial,15
,,,,
6/17/2017 7:25,US6,HDD,Commercial,26
,,,,
6/17/2017 7:25,US6,SSD,Commercial,0
,,,,
6/17/2017 7:25,US7,HDD,PCI,391
,,,,
6/17/2017 8:25,AP5,HDD,Commercial,267
,,,,
6/17/2017 8:25,EM3,HDD,Commercial,1284
,,,,
6/17/2017 8:25,EM3,SSD,Commercial,1728
,,,,
6/17/2017 8:25,SYD10,HDD,Commercial,1544
,,,,
6/17/2017 8:25,SYD10,SSD,Commercial,14
,,,,
6/17/2017 8:25,US2,HDD,Commercial,4826
,,,,
6/17/2017 8:25,US2,SSD,Commercial,1755
,,,,
6/17/2017 8:25,US2,SSD,Commercial,15
,,,,
6/17/2017 8:25,US6,HDD,Commercial,28
,,,,
6/17/2017 8:25,US6,SSD,Commercial,0
,,,,
6/17/2017 8:25,US7,HDD,PCI,391
,,,,
6/17/2017 9:26,AP5,HDD,Commercial,269
,,,,
6/17/2017 9:26,EM3,HDD,Commercial,1282
,,,,
6/17/2017 9:26,EM3,SSD,Commercial,1728
,,,,
6/17/2017 9:26,SYD10,HDD,Commercial,1538
,,,,
6/17/2017 9:26,SYD10,SSD,Commercial,14
,,,,
6/17/2017 9:26,US2,HDD,Commercial,4826
,,,,
6/17/2017 9:26,US2,SSD,Commercial,1947
,,,,
6/17/2017 9:26,US2,SSD,Commercial,15
,,,,
6/17/2017 9:26,US6,HDD,Commercial,24
,,,,
6/17/2017 9:26,US6,SSD,Commercial,0
,,,,
6/17/2017 9:26,US7,HDD,PCI,393
,,,,
6/17/2017 10:25,AP5,HDD,Commercial,265
,,,,
6/17/2017 10:25,EM3,HDD,Commercial,1283
,,,,
6/17/2017 10:25,EM3,SSD,Commercial,1728
,,,,
6/17/2017 10:25,SYD10,HDD,Commercial,1536
,,,,
6/17/2017 10:25,SYD10,SSD,Commercial,14
,,,,
6/17/2017 10:25,US2,HDD,Commercial,4822
,,,,
6/17/2017 10:25,US2,SSD,Commercial,2315
,,,,
6/17/2017 10:25,US2,SSD,Commercial,15
,,,,
6/17/2017 10:25,US6,HDD,Commercial,24
,,,,
6/17/2017 10:25,US6,SSD,Commercial,0
,,,,
6/17/2017 10:25,US7,HDD,PCI,393
,,,,
6/17/2017 11:26,AP5,HDD,Commercial,268
,,,,
6/17/2017 11:26,EM3,HDD,Commercial,1285
,,,,
6/17/2017 11:26,EM3,SSD,Commercial,1728
,,,,
6/17/2017 11:26,SYD10,HDD,Commercial,1537
,,,,
6/17/2017 11:26,SYD10,SSD,Commercial,14
,,,,
6/17/2017 11:26,US2,HDD,Commercial,4822
,,,,
6/17/2017 11:26,US2,SSD,Commercial,2579
,,,,
6/17/2017 11:26,US2,SSD,Commercial,15
,,,,
6/17/2017 11:26,US6,HDD,Commercial,26
,,,,
6/17/2017 11:26,US6,SSD,Commercial,1
,,,,
6/17/2017 11:26,US7,HDD,PCI,391
,,,,
6/17/2017 12:26,AP5,HDD,Commercial,266
,,,,
6/17/2017 12:26,EM3,HDD,Commercial,1282
,,,,
6/17/2017 12:26,EM3,SSD,Commercial,1728
,,,,
6/17/2017 12:26,SYD10,HDD,Commercial,1537
,,,,
6/17/2017 12:26,SYD10,SSD,Commercial,14
,,,,
6/17/2017 12:26,US2,HDD,Commercial,4819
,,,,
6/17/2017 12:26,US2,SSD,Commercial,2579
